( ͡° ͜ʖ ͡°):  lenny basic 1
(ᴗ ͜ʖ ᴗ):  lenny basic 2
( ° ͜ʖ °):  lenny basic 3
( ‾ ʖ̫ ‾):  lenny basic 4
( ‾ ʖ̫ ‾):  lenny basic 5
( ͠° ͟ʖ ͡°):  lenny basic 6
( ͠° ͟ʖ ͠°):  lenny basic 7
( ͡~ ͜ʖ ͡°):  lenny basic 8
( ͡o ͜ʖ ͡o):  lenny basic 9
( ͡◉ ͜ʖ ͡◉):  lenny basic 10
( ͡☉ ͜ʖ ͡☉):  lenny basic 11
ʕ ͡° ͜ʖ ͡°ʔ:  lenny basic 12
( ͡ᵔ ͜ʖ ͡ᵔ ):  lenny basic 13
( ͡° ͜ʖ ͡ °):  lenny basic 14
(▀̿Ĺ̯▀̿ ̿):  lenny angry 1
( ͡° ʖ̯ ͡°):  lenny angry 2
( ͡°Ĺ̯ ͡° ):  lenny angry 3
ʕ ͡° ʖ̯ ͡°ʔ:  lenny angry 4
( ° ͜ʖ͡°)╭∩╮:  lenny angry 5
┐( ͡° ʖ̯ ͡°)┌:  lenny angry 6
ლ(▀̿̿Ĺ̯̿̿▀̿ლ):  lenny angry 7
(̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄:  lenny angry 8
┬━┬ノ(▀̿̿Ĺ̯̿̿▀̿ ̿ノ):  lenny angry 9
━╤デ╦︻(▀̿̿Ĺ̯̿̿▀̿ ̿):  lenny angry 10
╭∩╮( ͡° ل͟ ͡° )╭∩╮:  lenny angry 11
━╤デ╦︻(▀̿̿Ĺ̯̿̿▀̿ ̿):  lenny attack 1
( ͡° ͜ʖ ͡°)︻̷┻̿═━一-:  lenny attack 2
╰( ͡° ͜ʖ ͡° )つ──☆*:・ﾟ:  lenny attack 3
<:::::[]=¤ (▀̿̿Ĺ̯̿̿▀̿ ̿):  lenny attack 4 
̿'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿̿ ̿ ̿ ̿ ̿ ̿:  lenny attack 5
̿'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿̿ ̿ ̿ ̿ ̿ ̿:  lenny attack 6
̿̿ ̿̿ ̿̿ ̿'̿'\̵͇̿̿\з= ( ▀ ͜͞ʖ▀) =ε/̵͇̿̿/’̿’̿ ̿ ̿̿ ̿̿ ̿̿:  lenny attack 7
(∩ ͡° ͜ʖ ͡°)⊃━☆─=≡Σ((( つ◕ل͜◕)つ:  lenny attack 8
(˵ ͡° ͜ʖ ͡°˵):  lenny blush 1
(つ ͡ꈍ ͜ʖ̫ ͡ꈍ )つ:  lenny blush 2
ಥʖ̯ಥ:  lenny cry 1
ಥ ͜ʖಥ:  lenny cry 2
(ಥ ͜ʖಥ):  lenny cry 3
︵‿︵(´ ͡༎ຶ ͜ʖ ͡༎ຶ `)︵‿︵:  lenny cry 4
( ͡°- ͡°):  lenny cute 1
( ͡°ω ͡°):  lenny cute 2
乁(ಥ ͜ʖಥ)ㄏ:  lenny shrug 1
┐(ಥ ͜ʖಥ)┌:  lenny shrug 2
-=≡~ξ ͡° ͜ʖ ͡°):  lenny dash 1
[̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅]:  lenny dollar 1
[̲̅$̲̅(̲̅☭ ͜ʖ ☭)̲̅$̲̅]:  lenny dollar 2
[̲̅$̲̅(̲̅ ͡~ ͜ʖ ͡°)̲̅$̲̅]:  lenny dollar 3
（╯ ͡° ▽ ͡°）╯︵ ┻━┻:  lenny flip table 1
(⌐▀͡ ̯ʖ▀) ╯︵ ┻─┻:  lenny flip table 2
(ノ͡° ͜ʖ ͡°)ノ︵┻┻:  lenny flip table 3
（╯°□°）╯︵ ┻┻:  lenny flip table 4
(⌐▀͡ ̯ʖ▀):  lenny glasses 1
(▀̿Ĺ̯▀̿ ̿):  lenny glasses 2
(☞⌐▀͡ ͜ʖ͡▀ )☞:  lenny glasses 3
ᕙ(▀̿̿Ĺ̯̿̿▀̿ ̿) ᕗ:  lenny glasses 4
(̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄:  lenny glasses 5
( ͡^ ͜ʖ ͡^):  lenny happy 1
( ͡^ ͜ʖ ͡^):  lenny happy 2
