(* ^ w ^) : happy 1
(* ^ ω ^) : happy 2
(´ ∀ ` *) : happy 3
٩(◕‿◕｡)۶ : happy 4
☆*:.｡.o(≧▽≦)o.｡.:*☆ : happy 5
(o^▽^o) : happy 6
(⌒▽⌒)☆ : happy 7
<(￣︶￣)> : happy 8
。.:☆*:･'(*⌒―⌒*))) : happy 9
ヽ(・∀・)ﾉ : happy 10
(´｡• ω •｡`) : happy 11
(￣ω￣) : happy 12
｀;:゛;｀;･(°ε° ) : happy 13
(o･ω･o) : happy 14
(＠＾◡＾) : happy 15
ヽ(*・ω・)ﾉ : happy 16
(o_ _)ﾉ彡☆ : happy 17
(^人^) : happy 18
(o´▽`o) : happy 19
(*´▽`*) : happy 20
｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡ : happy 21
( ´ ω ` ) : happy 22
(((o(*°▽°*)o))) : happy 23
(≧◡≦) : happy 24
(o´∀`o) : happy 25
(´• ω •`) : happy 26
(＾▽＾) : happy 27
(⌒ω⌒) : happy 28
∑d(°∀°d) : happy 29
╰(▔∀▔)╯ : happy 30
(─‿‿─) : happy 31
(*^‿^*) : happy 32
ヽ(o^ ^o)ﾉ : happy 33
(✯◡✯) : happy 34
(◕‿◕) : happy 35
(*≧ω≦*) : happy 36
(☆▽☆) : happy 37
(⌒‿⌒) : happy 38
＼(≧▽≦)／ : happy 39
ヽ(o＾▽＾o)ノ : happy 40
☆ ～('▽^人) : happy 41
(*°▽°*) : happy 42
٩(｡•́‿•̀｡)۶ : happy 43
(✧ω✧) : happy 44
ヽ(*⌒▽⌒*)ﾉ : happy 45
(´｡• ᵕ •｡`) : happy 46
( ´ ▽ ` ) : happy 47
(￣▽￣) : happy 48
╰(*´︶`*)╯ : happy 49
ヽ(>∀<☆)ノ : happy 50
o(≧▽≦)o : happy 51
(☆ω☆) : happy 52
(っ˘ω˘ς ) : happy 53
＼(￣▽￣)／ : happy 54
(*¯︶¯*) : happy 55
＼(＾▽＾)／ : happy 56
٩(◕‿◕)۶ : happy 57
(o˘◡˘o) : happy 58
\(★ω★)/ : happy 59
\(^ヮ^)/ : happy 60
(〃＾▽＾〃) : happy 61
(╯✧▽✧)╯ : happy 62
o(>ω<)o : happy 63
o( ❛ᴗ❛ )o : happy 64
｡ﾟ(TヮT)ﾟ｡ : happy 65
( ‾́ ◡ ‾́ ) : happy 66
(ﾉ´ヮ`)ﾉ*: ･ﾟ : happy 67
(b ᵔ▽ᵔ)b : happy 68
(๑˃ᴗ˂)ﻭ : happy 69
(๑˘︶˘๑) : happy 70
( ˙꒳​˙ ) : happy 71
(*꒦ິ꒳꒦ີ) : happy 72
°˖✧◝(⁰▿⁰)◜✧˖° : happy 73
(´･ᴗ･ ` ) : happy 74
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ : happy 75
(„• ֊ •„) : happy 76
(.❛ ᴗ ❛.) : happy 77
(⁀ᗢ⁀) : happy 78
(￢‿￢ ) : happy 79
(¬‿¬ ) : happy 80
(*￣▽￣)b : happy 81
( ˙▿˙ ) : happy 82
(¯▿¯) : happy 83
( ◕▿◕ ) : happy 84
＼(٥⁀▽⁀ )／ : happy 85
(„• ᴗ •„) : happy 86
(ᵔ◡ᵔ) : happy 87
( ´ ▿ ` ) : happy 88
ôヮô : happy 89
(⌒_⌒;) : embarrassment 1
(o^ ^o) : embarrassment 2
(*/ω＼) : embarrassment 3
(*/。＼) : embarrassment 4
(*/_＼) : embarrassment 5
(*ﾉωﾉ) : embarrassment 6
(o-_-o) : embarrassment 7
(*μ_μ) : embarrassment 8
( ◡‿◡ *) : embarrassment 9
(ᵔ.ᵔ) : embarrassment 10
(*ﾉ∀`*) : embarrassment 11
(//▽//) : embarrassment 12
(//ω//) : embarrassment 13
(ノ*°▽°*) : embarrassment 14
(*^.^*) : embarrassment 15
(*ﾉ▽ﾉ) : embarrassment 16
(￣▽￣*)ゞ : embarrassment 17
(⁄ ⁄•⁄ω⁄•⁄ ⁄) : embarrassment 18
(*/▽＼*) : embarrassment 19
(⁄ ⁄>⁄ ▽ ⁄<⁄ ⁄) : embarrassment 20
(„ಡωಡ„) : embarrassment 21
(ง ื▿ ื)ว : embarrassment 22
( 〃▽〃) : embarrassment 23
(/▿＼ ) : embarrassment 24
(///￣ ￣///) : embarrassment 25
(＃`Д´) : anger 1
(`皿´＃) : anger 2
( ` ω ´ ) : anger 3
ヽ( `д´*)ノ : anger 4
(・`ω´・) : anger 5
(`ー´) : anger 6
ヽ(`⌒´メ)ノ : anger 7
凸(`△´＃) : anger 8
( `ε´ ) : anger 9
ψ( ` ∇ ´ )ψ : anger 10
ヾ(`ヘ´)ﾉﾞ : anger 11
ヽ(‵﹏´)ノ : anger 12
(ﾒ` ﾛ ´) : anger 13
(╬`益´) : anger 14
┌∩┐(◣_◢)┌∩┐ : anger 15
凸( ` ﾛ ´ )凸 : anger 16
Σ(▼□▼メ) : anger 17
(°ㅂ°╬) : anger 18
ψ(▼へ▼メ)～→ : anger 19
(ノ°益°)ノ : anger 20
(҂ `з´ ) : anger 21
(‡▼益▼) : anger 22
(҂` ﾛ ´)凸 : anger 23
((╬◣﹏◢)) : anger 24
٩(╬ʘ益ʘ╬)۶ : anger 25
(╬ Ò﹏Ó) : anger 26
＼＼٩(๑`^´๑)۶／／ : anger 27
(凸ಠ益ಠ)凸 : anger 28
↑_(ΦwΦ)Ψ : anger 29
←~(Ψ▼ｰ▼)∈ : anger 30
୧((#Φ益Φ#))୨ : anger 31
٩(ఠ益ఠ)۶ : anger 32
(ﾉಥ益ಥ)ﾉ : anger 33
(ノ_<。) : sad 1
(-_-) : sad 2
(´-ω-`) : sad 3
.･ﾟﾟ･(／ω＼)･ﾟﾟ･. : sad 4
(μ_μ) : sad 5
(ﾉД`) : sad 6
(-ω-、) : sad 7
。゜゜(´Ｏ`) ゜゜。 : sad 8
o(TヘTo) : sad 9
( ; ω ; ) : sad 10
(｡╯︵╰｡) : sad 11
｡･ﾟﾟ*(>д<)*ﾟﾟ･｡ : sad 12
( ﾟ，_ゝ｀) : sad 13
(个_个) : sad 14
(╯︵╰,) : sad 15
｡･ﾟ(ﾟ><ﾟ)ﾟ･｡ : sad 16
( ╥ω╥ ) : sad 17
(╯_╰) : sad 18
(╥_╥) : sad 19
.｡･ﾟﾟ･(＞_＜)･ﾟﾟ･｡. : sad 20
(／ˍ・、) : sad 21
(ノ_<、) : sad 22
(╥﹏╥) : sad 23
｡ﾟ(｡ﾉωヽ｡)ﾟ｡ : sad 24
(つω`｡) : sad 25
(｡T ω T｡) : sad 26
(ﾉω･､) : sad 27
･ﾟ･(｡>ω<｡)･ﾟ･ : sad 28
(T_T) : sad 29
(>_<) : sad 30
(っ˘̩╭╮˘̩)っ : sad 31
｡ﾟ･ (>﹏<) ･ﾟ｡ : sad 32
o(〒﹏〒)o : sad 33
(｡•́︿•̀｡) : sad 34
(ಥ﹏ಥ) : sad 35
(ಡ‸ಡ) : sad 36
~(>_<~) : pain 1
☆⌒(> _ <) : pain 2
☆⌒(>。<) : pain 3
(☆_@) : pain 4
(×_×) : pain 5
(x_x) : pain 6
(×_×)⌒☆ : pain 7
(x_x)⌒☆ : pain 8
(×﹏×) : pain 9
☆(＃××) : pain 10
(＋_＋) : pain 11
[ ± _ ± ] : pain 12
٩(× ×)۶ : pain 13
_:(´ཀ`」 ∠):_ : pain 14
(ﾒ﹏ﾒ) : pain 15
(ノωヽ) : fear 1
(／。＼) : fear 2
(ﾉ_ヽ) : fear 3
..・ヾ(。＞＜)シ : fear 4
(″ロ゛) : fear 5
(;;;*_*) : fear 6
(・人・) : fear 7
＼(〇_ｏ)／ : fear 8
(/ω＼) : fear 9
(/_＼) : fear 10
〜(＞＜)〜 : fear 11
Σ(°△°|||)︴ : fear 12
(((＞＜))) : fear 13
{{ (>_<) }} : fear 14
＼(º □ º l|l)/ : fear 15
〣( ºΔº )〣 : fear 16
ヽ(ー_ー )ノ : indifference 1
ヽ(´ー` )┌ : indifference 2
┐(‘～` )┌ : indifference 3
ヽ(　￣д￣)ノ : indifference 4
┐(￣ヘ￣)┌ : indifference 5
ヽ(￣～￣　)ノ : indifference 6
╮(￣_￣)╭ : indifference 7
ヽ(ˇヘˇ)ノ : indifference 8
┐(￣～￣)┌ : indifference 9
┐(︶▽︶)┌ : indifference 10
╮(￣～￣)╭ : indifference 11
¯\_(ツ)_/¯ : indifference 12
┐( ´ д ` )┌ : indifference 13
╮(︶︿︶)╭ : indifference 14
┐(￣∀￣)┌ : indifference 15
┐( ˘ ､ ˘ )┌ : indifference 16
╮(︶▽︶)╭ : indifference 17
╮( ˘ ､ ˘ )╭ : indifference 18
┐( ˘_˘ )┌ : indifference 19
╮( ˘_˘ )╭ : indifference 20
┐(￣ヮ￣)┌ : indifference 21
ᕕ( ᐛ )ᕗ : indifference 22
┐(シ)┌ : indifference 23
(^_~) : wink 1
( ﾟｏ⌒) : wink 2
(^_-)≡☆ : wink 3
(^ω~) : wink 4
(>ω^) : wink 5
(~人^) : wink 6
(^_-) : wink 7
( -_・) : wink 8
(^_<)〜☆ : wink 9
(^人<)〜☆ : wink 10
☆⌒(≧▽​° ) : wink 11
☆⌒(ゝ。∂) : wink 12
(^_<) : wink 13
(^_−)☆ : wink 14
(･ω<)☆ : wink 15
(^.~)☆ : wink 16
(^.~) : wink 17
(づ￣ ³￣)づ : hug 1
(つ≧▽≦)つ : hug 2
(つ✧ω✧)つ : hug 3
(づ ◕‿◕ )づ : hug 4
(⊃｡•́‿•̀｡)⊃ : hug 5
(つ . •́ _ʖ •̀ .)つ : hug 6
(っಠ‿ಠ)っ : hug 7
(づ◡﹏◡)づ : hug 8
⊂(´• ω •`⊂) : hug 9
⊂(･ω･*⊂) : hug 10
⊂(￣▽￣)⊃ : hug 11
⊂( ´ ▽ ` )⊃ : hug 12
( ~*-*)~ : hug 13
(｡•̀ᴗ-)✧ : hug 14
(>^ ω ^)> : hug 15
<(^ ω ^<) : hug 16
(=^･ω･^=) : cat 1
(=^･ｪ･^=) : cat 2
(=①ω①=) : cat 3
( =ω=)..nyaa : cat 4
(= ; ｪ ; =) : cat 5
(=`ω´=) : cat 6
(=^‥^=) : cat 7
( =ノωヽ=) : cat 8
(=⌒‿‿⌒=) : cat 9
(=^ ◡ ^=) : cat 10
(=^-ω-^=) : cat 11
